"id","code","name","parent_id/id"
"cat_2432_1","2432.1","Наукові співробітники (бібліотечна справа, кінопрограми)","cat_2432"
"cat_2432_2","2432.2","Бібліотекарі, професіонали в сфері кінопрограм","cat_2432"
"cat_2433","2433","Професіонали в галузі інформації та інформаційного аналізу","cat_243"
"cat_2433_1","2433.1","Наукові співробітники (інформаційна аналітика)","cat_2433"
"cat_2433_2","2433.2","Професіонали в галузі інформації та інформаційні аналітики","cat_2433"
"cat_244","244","Професіонали в галузі економіки, соціології, археографії, археології, географії, кримінології та палеографії","cat_24"
"cat_2441","2441","Професіонали в галузі економіки","cat_244"
"cat_2441_1","2441.1","Наукові співробітники (економіка)","cat_2441"
"cat_2441_2","2441.2","Економісти","cat_2441"
"cat_2442","2442","Професіонали в галузі археографії, археології, географії, кримінології, палеографії та соціології","cat_244"
"cat_2442_1","2442.1","Наукові співробітники (археографія, археологія, географія, кримінологія, палеографія, соціологія)","cat_2442"
"cat_2442_2","2442.2","Археографи, археологи, географи, кримінологи, палеографи та соціологи","cat_2442"
"cat_2443","2443","Професіонали в галузі філософії, історії та політології","cat_244"
"cat_2443_1","2443.1","Наукові співробітники (філософія, історія, політологія)","cat_2443"
"cat_2443_2","2443.2","Філософи, історики та політологи","cat_2443"
"cat_2444","2444","Професіонали в галузі філології, лінгвістики та перекладів","cat_244"
"cat_2444_1","2444.1","Наукові співробітники (філологія, лінгвістика, переклади)","cat_2444"
"cat_2444_2","2444.2","Філологи, лінгвісти, перекладачі та усні перекладачі","cat_2444"
"cat_2445","2445","Професіонали в галузі психології","cat_244"
"cat_2445_1","2445.1","Наукові співробітники (психологія)","cat_2445"
"cat_2445_2","2445.2","Психологи","cat_2445"
"cat_2446","2446","Професіонали в галузі соціального захисту населення","cat_244"
"cat_2446_1","2446.1","Наукові співробітники (соціальний захист населення)","cat_2446"
"cat_2446_2","2446.2","Професіонали в галузі соціального захисту населення","cat_2446"
"cat_2447","2447","Професіонали у сфері управління проектами та програмами","cat_244"
"cat_2447_1","2447.1","Наукові співробітники (проекти та програми)","cat_2447"
"cat_2447_2","2447.2","Професіонали з управління проектами та програмами","cat_2447"
"cat_245","245","Професіонали в галузі художньої творчості","cat_24"
"cat_2451","2451","Професіонали в галузі літератури","cat_245"
"cat_2451_1","2451.1","Літературознавці","cat_2451"
"cat_2451_2","2451.2","Письменники, редактори та журналісти","cat_2451"
"cat_2452","2452","Професіонали в галузі образотворчого та декоративно-прикладного мистецтва","cat_245"
"cat_2452_1","2452.1","Мистецтвознавці (образотворче та декоративно-прикладне мистецтво)","cat_2452"
"cat_2452_2","2452.2","Скульптори, художники та модельєри","cat_2452"
"cat_2453","2453","Професіонали в галузі музики","cat_245"
"cat_2453_1","2453.1","Мистецтвознавці (музикознавство)","cat_2453"
"cat_2453_2","2453.2","Композитори, аранжувальники, диригенти, музиканти та співаки","cat_2453"
"cat_2454","2454","Професіонали в галузі хореографії","cat_245"
"cat_2454_1","2454.1","Мистецтвознавці (хореографія)","cat_2454"
"cat_2454_2","2454.2","Хореографи і танцюристи","cat_2454"
"cat_2455","2455","Професіонали в галузі кіно, театру та естради","cat_245"
"cat_2455_1","2455.1","Мистецтвознавці (кіномистецтво, театр, естрада)","cat_2455"
"cat_2455_2","2455.2","Кіно-, театральні (естрадні та інші) актори та режисери","cat_2455"
"cat_246","246","Професіонали в галузі релігії","cat_24"
"cat_2460","2460","Професіонали в галузі релігії","cat_246"
"cat_247","247","Професіонали з безпеки та якості","cat_24"
"cat_2471","2471","Професіонали з контролю за якістю","cat_247"
"cat_248","248","Професіонали в галузі туризму, готельної, ресторанної та санаторно-курортної справи","cat_24"
"cat_2481","2481","Професіонали в галузі туризму","cat_248"
"cat_2481_1","2481.1","Наукові співробітники (туризмологія, екскурсознавство)","cat_2481"
"cat_2481_2","2481.2","Туризмознавці","cat_2481"
"cat_2482","2482","Професіонали в галузі готельної та ресторанної справи","cat_248"
"cat_2482_2","2482.2","Професіонали із готельної та ресторанної справи","cat_2482"
"cat_2483","2483","Професіонали в галузі санаторно-курортної справи","cat_248"
"cat_2483_1","2483.1","Наукові співробітники (рекреалогія)","cat_2483"
"cat_2483_2","2483.2","Професіонали із санаторно-курортної справи","cat_2483"
